gene_id	ncbi_refseq	eff_length	tpm_1d_rep1	tpm_1d_rep2	tpm_1d_rep3	tpm_10d_rep1	tpm_10d_rep2	tpm_10d_rep3	tpm_10d_rep4	mean_tpm_1d	mean_tpm_10d	pvalue	qvalue	log2fc	regulation	tair_description	at_accession	at_evalue	regulation_label
Nitab4.5_0005255g0010.1	XM_016602129.1	705	0	0	0	0	180.629884	483.445749	166.601192	0	276.892275	2.39173046916037e-22	2.98516750014197e-20	7.92959729590985	1	'Peroxidase superfamily protein'	AT3G49960.1	0.45	UP
Nitab4.5_0021283g0010.1	XM_016630877.1	1239	143.947442	121.312377	139.577618	94.08919	0	0	0	124.73165675000001	0	3.47418966671835e-253	1.322276587153e-248	-7.88847778725797	2	FLA2: FASCICLIN-like arabinogalactan 2	AT4G12730.1	9.9999999999999995E-127	DOWN
Nitab4.5_0001904g0070.1	XM_016608215.1	891	0	0	0	0	155.331466	145.449414	127.131294	0	142.63739133333334	9.09605903086008e-17	5.80865783078078e-15	7.80640951186822	1	HIPP20: Heavy metal transport/detoxification superfamily protein	AT1G71050.1	5.9999999999999997E-15	UP
Nitab4.5_0000662g0180.1	XM_016629011.1	840	0	0	0	0	154.637638	134.520493	151.461063	0	146.87306466666666	2.19305397703264e-16	1.30827013112637e-14	7.79876596917771	1	Aluminium induced protein with YGL and LRDR motifs	AT4G27450.1	8.0000000000000003E-142	UP
Nitab4.5_0007754g0030.1	XM_016623398.1	936	5.747513	0	0	0	516.087184	411.12911	672.739785	1.43687825	533.318693	1.25194938864243e-17	8.90639135172537e-16	7.76034644264334	1	ATEXT3, RSH, EXT3: extensin 3	AT1G21310.1	0.28999999999999998	UP
Nitab4.5_0002066g0110.1	XM_016592992.1	1063	0.527993	0	0	0	287.021977	198.562386	199.081205	0.13199825	228.221856	8.54198733771912e-16	4.62509659651412e-14	7.70408494447802	1	Aluminium induced protein with YGL and LRDR motifs	AT4G27450.1	5.0000000000000003E-115	UP
Nitab4.5_0000500g0190.1	XM_016660335.1	756	3.490456	0	0	0	416.47953	380.860297	287.149581	0.872614	361.4964693333333	8.1178552472011e-18	5.94164559054758e-16	7.56746101867786	1	ATEXLB1, EXPR, AT-EXPR, ATEXPR1, ATHEXP BETA 3.1, EXLB1: expansin-like B1	AT4G17030.1	9.9999999999999996E-75	UP
Nitab4.5_0002918g0080.1	XM_016615196.1	4386	69.102641	80.769301	82.186285	58.681297	0	0.052954	0.109172	72.68488099999999	0.054042	2.18035228535593e-61	3.0734891844684e-58	-7.50002908000289	2	TOPII, ATTOPII: topoisomerase II	AT3G23890.1	0	DOWN
Nitab4.5_0009648g0020.1	XM_016646097.1	432	0	0	0	2.588336	393.410455	922.472546	478.628611	0.647084	598.1705373333333	9.92269578430863e-18	7.17980611313282e-16	7.49307546216945	1	XERO1: dehydrin xero 1	AT3G50980.1	4E-14	UP
Nitab4.5_0001301g0090.1	XM_016602787.1	2322	1.097015	0	0	0	125.62682	99.761206	97.572152	0.27425375	107.65339266666666	2.72159303534272e-15	1.36654130508105e-13	7.48396151996851	1	BXL2, ATBXL2: beta-xylosidase 2	AT1G02640.1	0	UP
Nitab4.5_0010009g0010.1	XM_016602129.1	1377	0	0	0	0	44.84649	150.175304	35.228475	0	76.75008966666667	6.78530472868125e-17	4.47571400300881e-15	7.40396409754076	1	Peroxidase superfamily protein', Solanaceae	AT3G49960.1	0.28999999999999998	UP
Nitab4.5_0003893g0030.1	XM_016658362.1	1521	0	0	0	0	52.839788	62.611142	41.715867	0	52.38893233333334	2.84100776773567e-15	1.4227467847371e-13	7.39381168458717	1	BGLU46: beta glucosidase 46	AT1G61820.1	0	UP
Nitab4.5_0002537g0010.1	XM_016621834.1	423	0	0	0	0	289.734683	276.98792	205.856233	0	257.52627866666666	3.58962147833596e-15	1.76527876334382e-13	7.3380912251769	1	XH/XS domain-containing protein', Solanaceae	AT4G00380.1	5.6	UP
Nitab4.5_0016299g0010.1	XM_016607844.1	545	51.329608	145.749061	183.280278	90.013925	0	0	0	117.59321800000001	0	5.77906498831518e-15	2.75628087036687e-13	-7.3226659031798	2	NA	NA	NA	DOWN
Nitab4.5_0000707g0240.1	XM_016652815.1	4410	39.170174	54.413405	48.555466	46.318451	0.325694	0	0	47.114374000000005	0.10856466666666666	1.33578576837324e-34	4.42087011689441e-32	-7.29567602331408	2	TOPII, ATTOPII: topoisomerase II	AT3G23890.1	0	DOWN
Nitab4.5_0000461g0300.1	XM_016587758.1	633	139.597671	132.08453	111.283407	221.019831	0	0	0	150.99635975	0	9.41203052431048e-119	4.47777352194071e-115	-7.29490742570485	2	NA	NA	NA	DOWN
Nitab4.5_0000062g0170.1	XM_016626108.1	1299	55.531498	90.278026	63.557955	74.267757	0	0	0	70.908809	0	7.12127796388174e-136	5.42071678610678e-132	-7.28541743115943	2	CYC1BAT, CYCB1;2: Cyclin family protein, G1/S checkpoint	AT5G06150.1	2.0000000000000001E-153	DOWN
Nitab4.5_0002537g0030.1	XM_016621836.1	498	0.73588	0	0	0	392.137812	645.98473	261.260042	0.18397	433.127528	1.50054378714649e-14	6.70313339657223e-13	7.27794725490959	1	XH/XS domain-containing protein', Solanaceae	AT4G00380.1	5.6	UP
Nitab4.5_0000040g0340.1	XM_016594737.1	450	0	0	0	0	317.843294	187.320209	196.145156	0	233.769553	4.39385836651784e-25	6.99708156609494e-23	7.22749808943765	1	Ribonuclease T2 family protein	AT1G14220.1	3.0000000000000001E-92	UP
Nitab4.5_0004559g0010.1	XM_016596256.1	1491	51.302181	43.610468	58.027329	58.105206	0	0	0	52.761296	0	2.39774719846148e-64	3.80242743222684e-61	-7.22191300853918	2	FZR3: FIZZY-related 3, CCB52 prometaphase regualtion with CycB (through APC)	AT5G13840.2	Publication Detail	DOWN
Nitab4.5_0001232g0040.1	XM_016650947.1	2184	28.476115	34.745288	74.80512	68.182871	0	0	0	51.5523485	0	1.23805790597924e-126	7.85341398359497e-123	-7.16988603498879	2	AIR3: Subtilisin-like serine endopeptidase family protein	AT2G04160.1	The auxin influx carrier LAX3 promotes lateral root emergence | Nature Cell Biology	DOWN
Nitab4.5_0006895g0010.1	XM_016649366.1	411	1.10181	0	0	0	144.39613	188.405828	169.915668	0.2754525	167.572542	7.14971389676464e-14	2.94181741525257e-12	7.16038015255761	1	ABC transporter similar to AT2G27180.1  or At3G11690	AT3G11690	NA	UP
Nitab4.5_0001488g0020.1	XM_016635861.1	1452	0.60546	0	0	0	108.181146	57.722932	110.194129	0.151365	92.03273566666667	1.27070595028182e-12	4.29893941935344e-11	7.15940064558288	1	CYP72A15: cytochrome P450, family 72, subfamily A, polypeptide 15	AT3G14690.1	2E-179	UP
Nitab4.5_0000461g0040.1	XM_016583001.1	3585	14.153312	18.141491	18.487853	17.200045	0	0	0	16.99567525	0	5.52692899286835e-23	7.48594012343664e-21	-7.15154654780258	2	Kinesin motor family protein	AT3G20150.1	0	DOWN
Nitab4.5_0006888g0010.1	XM_016598402.1	1005	1.37341	0	0	0	205.629886	93.115134	160.939514	0.3433525	153.22817799999999	1.22865306396539e-14	5.57360376811952e-13	7.13285534073277	1	ATBCAT-2, BCAT-2: branched-chain amino acid transaminase 2	AT1G10070.2	0	UP
Nitab4.5_0005100g0050.1	XM_016660414.1	693	0.208677	0	0	0	118.869902	241.910185	79.933188	0.05216925	146.90442499999997	7.62854853663776e-14	3.1219629817681e-12	7.08225960023853	1	Pathogenesis-related thaumatin superfamily protein	AT5G02140.1	1.9999999999999999E-124	UP
Nitab4.5_0001891g0100.1	XM_016617051.1	1450	47.26948	54.57143	47.920485	30.936956	0	0	0	45.17458775	0	5.44432398340635e-104	1.8837360982586e-100	-7.07606202036858	2	Pathogenesis-related thaumatin superfamily protein	AT4G38660.1	1.0000000000000001E-138	DOWN
Nitab4.5_0002606g0030.1	XM_016626108.1	1341	56.548017	52.621829	56.328282	60.850804	0	0	0	56.587233	0	1.29392092909022e-92	4.10388588009783e-89	-7.07164791599732	2	CYC1BAT, CYCB1;2: Cyclin family protein	AT5G06150.1	9.0000000000000008E-152	DOWN
Nitab4.5_0000036g0420.1	XM_016615653.1	2544	0.54302	0	0	0.137085	58.797375	139.239017	78.426783	0.17002625	92.15439166666665	2.2846739397035e-24	3.39666758379356e-22	7.0197846547526	1	Protein of unknown function (duplicated DUF1399)	AT2G22660.2	0	UP
Nitab4.5_0001114g0030.1	XM_016621069.1	3327	0	0	0	0	14.623652	27.814212	20.911766	0	21.116543333333336	5.36261626614148e-18	4.04160742751178e-16	7.01498978803789	1	lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme	AT4G33150.2	0	UP
Nitab4.5_0000365g0160.1	XM_016613843.1	429	0	0	0	0	150.496578	109.591968	184.02866	0	148.03906866666668	2.62718246882062e-16	1.54068666815582e-14	7.01434716067171	1	ATHSP22.0: HSP20-like chaperones superfamily protein	AT4G10250.1	4.0000000000000002E-62	UP
Nitab4.5_0002498g0070.1	XM_016631818.1	564	1.071993	0	0	0	106.275587	199.359988	175.396272	0.26799825	160.343949	5.81933352164961e-14	2.42058834791239e-12	7.00143323426501	1	CML38: calmodulin-like 38	AT1G76650	NA	UP
Nitab4.5_0007276g0010.1	XM_016609227.1	762	0	0	0	0	39.849142	45.578117	45.059805	0	43.495687999999994	1.04915948757243e-17	7.54839510340391e-16	6.99882929729019	1	Homeodomain-like superfamily, C2H2- zinc finger protein family, Trihelix transcription factor GT3, Myb-like domain	AT2G38250.1	4.0000000000000003E-63	UP
Nitab4.5_0006721g0030.1	XM_016632977.1	2232	24.83669	19.235492	47.20533	30.663413	0	0	0	30.48523125	0	1.28672532377752e-72	2.88075093076309e-69	-6.99600652943597	2	TPX2: targeting protein for XKLP2 , Involved in mitotic spindle assembly during late prophase and early prometaphase	AT1G03780.2	0	DOWN
Nitab4.5_0004637g0030.1	XM_016634761.1	1577	64.705438	61.668083	80.68849	61.4806	0.12073	0	0	67.13565275	0.04024333333333333	1.3669000517078e-104	5.20242159679989e-101	-6.99555455723813	2	CYC3B, CYC2BAT, CYCA2;2: mitotic-like cyclin 3B from Arabidopsis , G2/M, endoreduplication	AT5G11300.1	9.0000000000000005E-151	DOWN
Nitab4.5_0001357g0030.1	XM_016597859.1	918	4.808722	0	0	0	160.807544	210.903692	185.266872	1.2021805	185.65936933333333	4.74764856065146e-10	1.07428828032317e-8	6.99385057600299	1	Aluminium induced protein with YGL and LRDR motifs	AT4G27450.1	3.0000000000000002E-104	UP
Nitab4.5_0002011g0060.1	XM_016590113.1	543	102.945415	120.448356	60.254333	68.508232	0	0	0	88.039084	0	2.3228209943608e-29	5.32569680996216e-27	-6.95918078947093	2	ENODL15, AtENODL15: early nodulin-like protein 15, GPI anchored PM protein, for the cell to cell interaction	AT4G31840.1	Maternal ENODLs Are Required for Pollen Tube Reception in Arabidopsis - ScienceDirect	DOWN
Nitab4.5_0001646g0050.1	XM_016609496.1	1074	0	0	0	0	56.879149	37.65483	35.946723	0	43.493567333333324	8.13343396588355e-17	5.26460028471986e-15	6.94593499003936	1	ATBCAT-2, BCAT-2: branched-chain amino acid transaminase 2	AT1G10070.2	7.9999999999999996E-178	UP
Nitab4.5_0004937g0030.1	XM_016652303.1	1356	0	0	0	0.380321	88.167528	59.60821	65.483565	0.09508025	71.08643433333333	4.15461082442651e-14	1.76281480465633e-12	6.92741571054883	1	CYP72A15: cytochrome P450, family 72, subfamily A, polypeptide 15	AT3G14690.1	5.9999999999999998E-145	UP
Nitab4.5_0002302g0040.1	XM_016623637.1	957	1.929385	0	1.215755	0	269.494331	313.691305	274.539496	0.7862849999999999	285.9083773333333	2.61376315984378e-17	1.79242929484061e-15	6.89656332524825	1	unknown protein similar to AT3G03150.1	AT3G03150.1	6.0000000000000002E-27	UP
Nitab4.5_0005743g0010.1	XM_016591502.1	285	0	0	0	0	368.306597	272.25421	441.761733	0	360.77418000000006	1.35891397839835e-14	6.11350662149425e-13	6.88743514885223	1	'Heavy metal transport/detoxification superfamily protein'	AT1G01490.2	6E-11	UP
Nitab4.5_0003247g0010.1	XM_016594686.1	567	1.037809	0	0	2.633828	934.93721	207.445781	764.378534	0.9179092499999999	635.587175	3.37134433407692e-15	1.67074694472614e-13	6.8626790120175	1	ATHSP22.0: HSP20-like chaperones superfamily protein	AT4G10250.1	NA	UP
Nitab4.5_0012887g0010.1	XM_016607417.1	1254	1.149306	0	0	0	84.707169	70.713419	115.173568	0.2873265	90.198052	3.33694347050455e-13	1.2402741063223e-11	6.85040685594086	1	DREB2C, AtERF48: Integrase-type DNA-binding superfamily protein	AT2G40340.1	2.9999999999999999E-30	UP
Nitab4.5_0002139g0020.1	NA	912	67.323799	87.920754	46.807876	64.382595	0.175515	0	0	66.608756	0.058505	4.06607833118519e-122	2.21078487549869e-118	-6.81629088159443	2	CDKB1;2: cyclin-dependent kinase B1;2	AT2G38620.2	0	DOWN
Nitab4.5_0002477g0020.1	XM_016607297.1	1140	32.790039	33.011748	48.70338	36.30611	0	0	0	37.70281925	0	1.26340131102328e-16	7.8827957209092e-15	-6.81155798909274	2	unknown protein; interferon-activable protein;	AT3G52110.2	2E-79	DOWN
Nitab4.5_0002498g0080.1	XM_016628152.1	582	1.506573	0	0	0	96.540599	146.833052	190.46403	0.37664325	144.61256033333333	4.64537089620856e-13	1.69513726087917e-11	6.79729034814047	1	CML39, CML37: calmodulin like 37	AT5G42380	NA	UP
Nitab4.5_0011416g0010.1	XM_016640702.1	1631	181.675276	170.811612	187.397801	184.484123	0.598698	0.269702	0	181.09220299999998	0.28946666666666665	2.46349085327983e-36	9.47075372483135e-34	-6.79287062987479	2	Sec14p-like phosphatidylinositol transfer family protein, PATL4	AT1G30690.2	Phosphorylation-regulated SEC14-GOLD PATELLIN lipid transfer proteins - ScienceDirect	DOWN
Nitab4.5_0003076g0050.1	XM_016645370.1	1299	24.528832	44.700329	30.956374	22.482065	0	0	0	30.6669	0	8.19904748291864e-42	4.33410759999838e-39	-6.77218236887053	2	Reticulon family protein, RTN17	AT2G20590.1	The odd one out: Arabidopsis reticulon 20 does not bend ER membranes but has a role in lipid regulation | Scientific Reports	DOWN
Nitab4.5_0000753g0140.1	XM_016648262.1	1281	0	0	0	0	24.0155	42.85213	29.488212	0	32.118614	9.47507272387548e-15	4.39246367686603e-13	6.7676510679838104	1	Class I glutamine amidotransferase-like superfamily protein	AT5G38200.1	0	UP
Nitab4.5_0005181g0060.1	XM_016607186.1	1131	0	0	0	0	39.904723	20.304692	44.874697	0	35.02803733333333	9.82330796983238e-13	3.39192531012293e-11	6.76754532179147	1	RCY1, ATRCY1: arginine-rich cyclin 1	AT2G26430	NA	UP
Nitab4.5_0003722g0030.1	XM_016584345.1	540	0	0	2.1173670000000002	0	299.304879	219.012184	284.713415	0.52934175000000006	267.67682599999995	7.9328297510874e-16	4.33175753696394e-14	6.76556195997031	1	Lactoylglutathione lyase / glyoxalase I family protein	AT1G15380	3.9999999999999998E-94	UP
Nitab4.5_0008156g0030.1	XM_016641252.1	1773	0	2.359437	0	0	80.43337	134.332934	68.87432	0.58985925	94.54687466666667	1.05773048930688e-15	5.65410427289606e-14	6.76291343407842	1	ASN1, DIN6, AT-ASN1: glutamine-dependent asparagine synthase 1	AT3G47340.1	0	UP
Nitab4.5_0006448g0020.1	XR_001656256.1	453	78.41311	214.679437	120.598013	87.67482	0	0	0	125.341345	0	2.57941268569724e-206	3.27241489392124e-202	-6.75485226563497	2	trichohyalin	NA	NA	DOWN
Nitab4.5_0000410g0350.1	XM_016631230.1	1221	25.444211	29.101233	34.614536	15.389383	0	0	0	26.13734075	0	9.54374281935485e-16	5.13769238620432e-14	-6.74942515660996	2	unknown protein similar to AT3G15550.1	AT3G15550.1	2.0000000000000002E-15	DOWN
Nitab4.5_0000495g0180.1	XM_016579704.1	1302	36.624037	33.119547	33.42693	33.534447	0	0	0	34.17624025	0	5.77725524795601e-36	2.13477994890491e-33	-6.74661661270401	2	CYCB2;3: Cyclin B2;3	AT1G20610.1	4.0000000000000002E-173	DOWN
Nitab4.5_0000223g0250.1	XM_016603447.1	1449	308.678154	405.280128	404.608083	304.082467	1.27585	3.430664	0	355.662208	1.5688380000000002	4.64044203885851e-16	2.62820273807968e-14	-6.74419318965402	2	HMG (high mobility group) box protein	AT4G11080.1	The plant‐specific family of DNA‐binding proteins containing three HMG‐box domains interacts with mitotic and meiotic chromosomes - Pedersen - 2011 - New Phytologist - Wiley Online Library	DOWN
Nitab4.5_0008097g0010.1	XM_016621605.1	749	0	0	0	0	78.395206	118.950161	45.454275	0	80.933214	5.78317594158198e-17	3.84803629959109e-15	6.73766507978605	1	unknown protein similar to AT5G02160.1	AT5G02160.1	1E-46	UP
Nitab4.5_0005081g0100.1	XM_016592589.1	2220	18.259368	19.846731	27.214384	19.035346	0	0	0	21.08895725	0	1.96844674608404e-20	1.93090420505048e-18	-6.73118720021839	2	aspartic/glutamic acid-rich protein	AT5G17160.1	2.7	DOWN
Nitab4.5_0000048g0070.1	XM_016655818.1	1140	65.521707	60.492906	57.070918	29.937718	0	0	0	53.25581225	0	2.28576249181858e-54	2.63624607389743e-51	-6.71778947191544	2	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G28640	NA	DOWN
Nitab4.5_0000733g0160.1	XM_016657980.1	2241	18.948656	20.418052	21.77492	17.868248	0	0	0	19.752469	0	1.9286179745729e-30	4.92638926927816e-28	-6.69916021057764	2	ATPIP5K1, ATPIPK1, PIP5K1: phosphatidylinositol-4-phosphate 5-kinase 1	AT1G21980.1	9.9999999999999991E-146	DOWN
Nitab4.5_0001036g0110.1	XM_016601724.1	1320	0	0	0	0	42.140649	16.742973	37.699929	0	32.194517	1.61899085932584e-12	5.37685794990762e-11	6.69114111970021	1	CYP72A15: cytochrome P450, family 72, subfamily A, polypeptide 15	AT3G14690.1	4.9999999999999998E-145	UP
Nitab4.5_0007815g0080.1	XM_016655750.1	960	0	0	0	0	14.227587	24.481095	24.397269	0	21.035317	2.65331275256458e-13	1.00183614447032e-11	6.66968689071194	1	CML38: calmodulin-like 38	NA	NA	UP
Nitab4.5_0002853g0080.1	XM_016613941.1	2025	23.177913	34.723000999999996	26.200765	27.212064	0	0	0	27.82843575	0	2.0027921768805e-24	3.02485199412984e-22	-6.65194839317468	2	GRAS family transcription factor	AT1G63100	NA	DOWN
Nitab4.5_0000016g0170.1	XM_016619184.1	1005	4.017855	0	0	0	112.958381	182.157052	98.81441	1.00446375	131.30994766666666	3.20469764906234e-12	1.01812013792415e-10	6.65188657818669	1	PGIP1, ATPGIP1: polygalacturonase inhibiting protein 1	NA	NA	UP
Nitab4.5_0003200g0100.1	XM_016580401.1	1884	22.731998	39.825394	25.90698	20.728086	0	0	0	27.298114500000004	0	4.82773833300298e-18	3.68963295088541e-16	-6.6434228643223	2	MAN7, AtMAN7: Glycosyl hydrolase superfamily protein	AT5G66460.1	9E-153	DOWN
Nitab4.5_0005660g0010.1	XM_016637149.1	1032	195.719112	302.629655	178.441506	119.880576	1.355768	1.595009	0	199.16771225000002	0.9835923333333333	1.31340630126848e-22	1.70028040225437e-20	-6.63007883363137	2	Chalcone-flavanone isomerase family protein	AT5G66230.1	9.9999999999999998E-86	DOWN
Nitab4.5_0003766g0010.1	XM_016625867.1	843	0	0	0	0	25.301586	75.056412	20.803728	0	40.38724199999999	1.00606474109329e-12	3.44651881602256e-11	6.60681602295169	1	Protein of unknown function (DUF506)	AT4G32480.1	1.9999999999999999E-82	UP
Nitab4.5_0000824g0080.1	XM_016587530.1	905	21.631126	25.978502	25.490241	20.627781	0	0	0	23.4319125	0	7.19442717658169e-35	2.4448205208991e-32	-6.59038562427403	2	Kinase interacting (KIP1-like) family protein, NET3A at nuclear membrane	AT1G03470.2	8.9999999999999997E-54	DOWN
Nitab4.5_0000671g0160.1	XM_016607420.1	1362	17.722409	41.858979	35.846782	30.673614	0	0	0	31.525446	0	2.2971509081527e-30	5.75194497133499e-28	-6.58526340982536	2	Protein of unknown function, DUF642	AT5G11420.1	BIIDXI, the At4g32460 DUF642 gene, is involved in pectin methyl esterase regulation during Arabidopsis thalianaseed germination and plant development | BMC Plant Biology	DOWN
Nitab4.5_0001336g0090.1	XM_016588943.1	561	66.390246	58.858826	40.561524	29.378191	0	0	0	48.79719675	0	6.23487250256396e-106	2.63665830497316e-102	-6.58447434067221	2	GRIM REAPER (GRI), involved in the regulation of cell death induced by extracellular ROS (reactive oxygen species). Secreted into the extracellular space.	AT1G53130	GRIM REAPER peptide binds to receptor kinase PRK5 to trigger cell death in Arabidopsis | The EMBO Journal	DOWN
Nitab4.5_0005155g0020.1	XM_016655080.1	906	20.029312	23.84793	21.01539	21.935507	0	0	0	21.707034750000002	0	7.12618230932491e-30	1.69514061683066e-27	-6.57587829658224	2	Kinase interacting (KIP1-like) family protein	AT1G03470.2	4.0000000000000001E-54	DOWN
Nitab4.5_0000354g0040.1	XM_016656513.1	1002	0	0	0	0	24.573835	55.386586	18.781558	0	32.913993	2.20284065794216e-18	1.75765441176685e-16	6.56717748263595	1	bHLH093: beta HLH protein 93	AT5G65640.1	2.9999999999999999E-38	UP
Nitab4.5_0001695g0010.1	XM_016625231.1	2760	13.078013	15.034785	20.698618	10.792569	0	0	0	14.900996249999999	0	7.86087821478055e-59	1.03167249949844e-55	-6.5594109608293	2	GPI-anchored adhesin-like protein, Encodes a member of the TRM superfamily, that plays a role in preprophase band formation during plant cell division and controls the robustness of the orientation of that cell division. Its transcription is regulated by the cell cycle and peaks at the G2/M transition. TON1 RECRUITING MOTIF 7;TRM7	AT3G58650.1	The preprophase band of microtubules controls the robustness of division orientation in plants | Science	DOWN
Nitab4.5_0014837g0010.1	XM_016643765.1	1182	34.825432	36.932678	13.566399	17.870306	0	0	0	25.79870375	0	2.73585963681393e-54	3.06255346403348e-51	-6.55796473701705	2	MAN7, AtMAN7: Glycosyl hydrolase superfamily protein	AT5G66460	NA	DOWN
Nitab4.5_0004891g0060.1	XM_016601198.1	2007	0	0	0	0	23.756204	5.810847	37.514859	0	22.360636666666664	4.42371352728023e-13	1.62202829333609e-11	6.5571018207416	1	BIP, BIP2: Heat shock protein 70 (Hsp 70) family protein	AT5G42020.1	0	UP
Nitab4.5_0002949g0040.1	XM_016632153.1	798	210.917549	221.330258	186.846725	142.293797	4.115543	0	0	190.34708225	1.3718476666666666	1.19782644470568e-22	1.56127652347597e-20	-6.55263164319698	2	UCC1: uclacyanin 1	AT2G32300.1	2.0000000000000001E-33	DOWN
Nitab4.5_0005766g0040.1	XM_016602920.1	753	0	2.698618	0	0	150.761763	60.27342	168.58704	0.6746545	126.54074100000001	5.87152852481103e-13	2.09831338642543e-11	6.5457751528055	1	NA	AT3G14250.1	1E-58	UP
Nitab4.5_0008128g0030.1	XM_016623174.1	1461	26.549311	20.071163	17.499581	23.799703	0	0	0	21.9799395	0	1.30163628744858e-44	8.6912766842619e-42	-6.54533869325053	2	unknown protein similar to AT1G17030.1, hypothetical	AT1G17030.1	0	DOWN
Nitab4.5_0003194g0040.1	XM_016598505.1	882	17.415207	40.381242	28.597534	19.321081	0	0	0	26.428765999999996	0	5.32788070500032e-17	3.57005527521676e-15	-6.54252180837157	2	AP2/B3-like transcriptional factor family protein	AT5G58280.1	1.0000000000000001E-68	DOWN
Nitab4.5_0012646g0010.1	XM_016593301.1	2601	1.105797	0	0	0.316371	83.478882	63.037743	87.299282	0.35554199999999997	77.93863566666667	2.51233965803688e-16	1.48247515325401e-14	6.51887933597123	1	ATTPS11, TPS11, ATTPSB: trehalose phosphatase/synthase 11	AT2G18700.1	0	UP
Nitab4.5_0004775g0010.1	XM_016590742.1	843	2.898926	0	0	0.441357	219.151464	197.522372	301.658972	0.83507075	239.44426933333332	4.46919879986508e-12	1.38742011682598e-10	6.50807131398612	1	Aluminium induced protein with YGL and LRDR motifs	AT4G27450.1	5.0000000000000003E-115	UP
Nitab4.5_0004509g0030.1	XM_016592771.1	2571	33.61775	38.503209	48.788436	35.847244	0.400625	0	0	39.18915975	0.13354166666666667	3.75012677390474e-32	1.04182354025412e-29	-6.501311517533	2	P-loop containing nucleoside triphosphate hydrolase, kinesin	AT4G14330.1	3.0000000000000001E-93	DOWN
Nitab4.5_0000319g0220.1	NA	885	0	0	0	0	52.43155	9.541398	56.398794	0	39.457247333333335	1.88030308171755e-16	1.13774777885803e-14	6.50037344295359	1	HSP21: heat shock protein 21	AT4G27670.1	4.0000000000000001E-84	UP
